"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
0.136	255	255	255	83.037	142.642	0.537	0.358	0.553	1857	3193	165.964	0.358	"deltaefpuup_deac24earp33"	"deac24"	"earp33"
0.13	255	255	255	86.793	149.752	0.492	0.447	0.569	1941	3350	135	0.384	"deltaefpuup_deac24earp33"	"deac24"	"earp33"
0.15	255	255	255	94.886	172.691	0.537	0.447	0.566	2122	3864	161.565	0.445	"deltaefpuup_deac24earp33"	"deac24"	"earp33"
0.168	255	255	255	44.85	175.508	0.581	0.492	0.602	1004	3925	131.987	0.434	"deltaefpuup_deac24earp33"	"deac24"	"earp33"
0.134	255	255	255	53.301	186.553	0.537	0.358	0.553	1192	4173	165.964	0.355	"deltaefpuup_deac24earp33"	"deac24"	"earp33"
0.21	255	255	255	148.232	126.366	0.581	0.537	0.6	3316	2835	26.565	0.537	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.194	255	255	255	157.041	129.898	0.626	0.492	0.64	3512	2911	12.095	0.492	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.16	255	255	255	172.915	137.008	0.537	0.492	0.566	3867	3071	18.435	0.492	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.15	255	255	255	140.63	141.033	0.581	0.358	0.597	3145	3158	12.995	0.358	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.194	255	255	255	126.545	141.837	0.626	0.537	0.651	2830	3176	164.055	0.537	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.112	255	255	255	179.577	144.386	0.447	0.358	0.482	4016	3235	21.801	0.358	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.18	255	255	255	167.907	145.236	0.537	0.492	0.573	3756	3258	38.66	0.474	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.152	255	255	255	160.26	145.951	0.537	0.447	0.553	3584	3267	165.964	0.408	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.208	255	255	255	160.037	150.065	0.626	0.447	0.632	3579	3358	171.87	0.447	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.102	255	255	255	131.911	150.244	0.447	0.447	0.573	2952	3360	128.66	0.335	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.152	255	255	255	145.504	153.24	0.581	0.358	0.597	3254	3432	12.995	0.358	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.16	255	255	255	142.598	160.663	0.492	0.537	0.573	3192	3605	51.34	0.474	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.128	255	255	255	129.809	170.589	0.581	0.358	0.597	2903	3816	167.005	0.336	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.248	255	255	255	158.516	170.992	0.671	0.537	0.694	3545	3829	14.931	0.537	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.142	255	255	255	127.707	171.752	0.581	0.402	0.588	2856	3842	171.254	0.402	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.142	255	255	255	147.74	171.886	0.626	0.313	0.632	3304	3845	171.87	0.313	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.162	255	255	255	170.724	173.004	0.581	0.447	0.608	3819	3878	36.027	0.434	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.15	255	255	255	123.415	175.106	0.626	0.402	0.64	2760	3920	12.095	0.402	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.226	255	255	255	171.439	179.935	0.626	0.537	0.671	3836	4034	36.87	0.537	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.182	255	255	255	174.346	194.78	0.492	0.492	0.573	3900	4366	51.34	0.492	"deltaefpuup_deac24empty33"	"deac24"	"empty33"
0.451	255	255	255	71.749	39.202	0.905	0.679	0.952	1585	866	154.654	0.648	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.32	255	255	255	56.856	39.79	0.951	0.498	0.968	1256	882	169.216	0.498	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.762	255	255	255	73.56	41.103	1.041	1.041	1.124	1626	912	139.899	1.012	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.65	255	255	255	76.276	42.868	0.951	0.996	1.021	1692	969	77.196	0.951	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.758	255	255	255	83.021	43.185	1.132	1.132	1.243	1838	955	123.111	0.961	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.465	255	255	255	42.189	43.683	0.815	0.77	0.87	934	980	38.66	0.765	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.027	255	255	255	84.741	44.272	1.222	1.313	1.395	1874	981	125.754	1.152	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.26	255	255	255	48.074	45.72	0.724	0.634	0.806	1064	1021	38.157	0.561	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.604	255	255	255	68.173	45.72	0.996	0.951	1.132	1509	1010	126.87	0.87	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.26	255	255	255	54.049	46.535	1.403	1.403	1.483	1194	1036	148.736	1.362	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.83	255	255	255	67.041	46.671	1.132	1.041	1.195	1481	1037	155.376	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.941	255	255	255	71.07	47.44	1.041	1.177	1.231	1570	1053	143.973	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.406	255	255	255	76.321	48.255	0.588	0.996	1.005	1689	1066	97.765	0.588	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.346	255	255	255	86.37	49.477	1.403	1.584	1.648	1916	1126	52.815	1.231	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.451	255	255	255	66.996	49.704	0.905	0.905	0.979	1480	1104	146.31	0.751	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.693	255	255	255	88.091	49.885	0.905	0.951	1.034	1950	1102	113.199	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.867	255	255	255	64.235	51.198	1.086	1.132	1.154	1423	1134	131.82	1.082	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.27	255	255	255	40.741	51.786	0.679	0.724	0.791	903	1144	113.629	0.648	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.863	255	255	255	39.564	52.148	1.132	1.177	1.261	882	1152	111.038	1.117	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.283	255	255	255	44.815	52.193	1.313	1.403	1.507	992	1156	131.348	1.313	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.598	255	255	255	72.519	52.646	0.905	0.905	0.993	1602	1177	24.228	0.885	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.758	255	255	255	53.099	52.827	1.041	0.996	1.08	1174	1171	146.976	0.99	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.867	255	255	255	73.288	52.827	1.086	1.132	1.177	1619	1185	22.62	1.049	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
