"Area"	"Width"	"Height"	"genotype"	"pbad24"	"pbad33"	"efp_species"
0.136	0.537	0.358	"deltaefpuup_deac24earp33"	"deac"	"earp"	"D. acetiphilus"
0.13	0.492	0.447	"deltaefpuup_deac24earp33"	"deac"	"earp"	"D. acetiphilus"
0.15	0.537	0.447	"deltaefpuup_deac24earp33"	"deac"	"earp"	"D. acetiphilus"
0.168	0.581	0.492	"deltaefpuup_deac24earp33"	"deac"	"earp"	"D. acetiphilus"
0.134	0.537	0.358	"deltaefpuup_deac24earp33"	"deac"	"earp"	"D. acetiphilus"
0.21	0.581	0.537	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.194	0.626	0.492	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.16	0.537	0.492	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.15	0.581	0.358	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.194	0.626	0.537	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.112	0.447	0.358	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.18	0.537	0.492	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.152	0.537	0.447	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.208	0.626	0.447	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.102	0.447	0.447	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.152	0.581	0.358	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.16	0.492	0.537	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.128	0.581	0.358	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.248	0.671	0.537	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.142	0.581	0.402	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.142	0.626	0.313	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.162	0.581	0.447	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.15	0.626	0.402	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.226	0.626	0.537	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.182	0.492	0.492	"deltaefpuup_deac24empty33"	"deac"	"empty"	"D. acetiphilus"
0.451	0.905	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.32	0.951	0.498	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.762	1.041	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.65	0.951	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.758	1.132	1.132	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.465	0.815	0.77	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1.027	1.222	1.313	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
