Gene	Organism	Timepoint	Replicate	Expression
b0001	Ecoli	0	R1	788.3151581
b0001	Ecoli	0	R2	530.6803692
b0001	Ecoli	0	R3	599.4362535
b0001	Ecoli	1	R1	985.8756505
b0001	Ecoli	1	R2	302.8871145
b0001	Ecoli	1	R3	1100.230793
b0001	Ecoli	4	R1	106.8894373
b0001	Ecoli	4	R2	197.7482486
b0001	Ecoli	4	R3	181.0032532
b0001	Ecoli	7	R1	28.58653414
b0001	Ecoli	7	R2	66.97405686
b0001	Ecoli	7	R3	49.87595883
b0001	Ecoli	20	R1	27.35179448
b0001	Ecoli	20	R2	48.78563848
b0001	Ecoli	20	R3	14.09850811
b4401	Ecoli	0	R1	1279.007339
b4401	Ecoli	0	R2	2036.624579
b4401	Ecoli	0	R3	1503.53399
b4401	Ecoli	1	R1	1404.9913
b4401	Ecoli	1	R2	1668.242283
b4401	Ecoli	1	R3	1517.411048
b4401	Ecoli	4	R1	217.0964184
b4401	Ecoli	4	R2	180.1883725
b4401	Ecoli	4	R3	220.6924694
b4401	Ecoli	7	R1	92.69932857
b4401	Ecoli	7	R2	105.873943
b4401	Ecoli	7	R3	117.3263953
b4401	Ecoli	20	R1	50.11911769
b4401	Ecoli	20	R2	71.76692092
b4401	Ecoli	20	R3	53.79126798
b4200	Ecoli	0	R1	3977.02489
b4200	Ecoli	0	R2	2425.744308
b4200	Ecoli	0	R3	2939.09859
b4200	Ecoli	1	R1	2047.415177
b4200	Ecoli	1	R2	2343.295275
b4200	Ecoli	1	R3	2834.600982
b4200	Ecoli	4	R1	1635.008389
b4200	Ecoli	4	R2	1760.097216
b4200	Ecoli	4	R3	2302.153269
b4200	Ecoli	7	R1	648.1852725
b4200	Ecoli	7	R2	726.901738
b4200	Ecoli	7	R3	795.0128581
b4200	Ecoli	20	R1	184.9726857
b4200	Ecoli	20	R2	262.0967882
b4200	Ecoli	20	R3	192.3439321
T4p001	T4	0	R1	0.004035874
T4p001	T4	0	R2	0.070062656
T4p001	T4	0	R3	2.32836497
T4p001	T4	1	R1	1.173304644
T4p001	T4	1	R2	1.235632969
T4p001	T4	1	R3	1.269427321
T4p001	T4	4	R1	1098.355804
T4p001	T4	4	R2	1476.218202
T4p001	T4	4	R3	954.9207584
T4p001	T4	7	R1	4212.778409
T4p001	T4	7	R2	4062.903432
T4p001	T4	7	R3	3483.272899
T4p001	T4	20	R1	1300.967955
T4p001	T4	20	R2	1635.938701
T4p001	T4	20	R3	1064.956138
T4p034	T4	0	R1	0.053273537
T4p034	T4	0	R2	0.048675108
T4p034	T4	0	R3	2.187093388
T4p034	T4	1	R1	3.353767144
T4p034	T4	1	R2	3.54572939
T4p034	T4	1	R3	9.067338004
T4p034	T4	4	R1	1701.60873
T4p034	T4	4	R2	1917.400091
T4p034	T4	4	R3	1925.25296
T4p034	T4	7	R1	1950.867878
T4p034	T4	7	R2	2209.73904
T4p034	T4	7	R3	2197.341197
T4p034	T4	20	R1	539.9756234
T4p034	T4	20	R2	659.8553474
T4p034	T4	20	R3	507.8915615
T4p003	T4	0	R1	0.016491808
T4p003	T4	0	R2	0.105477955
T4p003	T4	0	R3	3.884158643
T4p003	T4	1	R1	2.461399395
T4p003	T4	1	R2	1.739346832
T4p003	T4	1	R3	2.627316475
T4p003	T4	4	R1	1725.584838
T4p003	T4	4	R2	2438.967027
T4p003	T4	4	R3	1564.657613
T4p003	T4	7	R1	6338.15911
T4p003	T4	7	R2	6279.691512
T4p003	T4	7	R3	5446.005539
T4p003	T4	20	R1	3036.01506
T4p003	T4	20	R2	3676.688395
T4p003	T4	20	R3	2416.0547
