Gene	Organism	Timepoint	Replicate	Expression
b0001	Ecoli	0	R1	788.3151581
b0001	Ecoli	0	R2	530.6803692
b0001	Ecoli	0	R3	599.4362535
b0001	Ecoli	1	R1	985.8756505
b0001	Ecoli	1	R2	302.8871145
b0001	Ecoli	1	R3	1100.230793
b0001	Ecoli	4	R1	106.8894373
b0001	Ecoli	4	R2	197.7482486
b0001	Ecoli	4	R3	181.0032532
b0001	Ecoli	7	R1	28.58653414
b0001	Ecoli	7	R2	66.97405686
b0001	Ecoli	7	R3	49.87595883
b0001	Ecoli	20	R1	27.35179448
b0001	Ecoli	20	R2	48.78563848
b0001	Ecoli	20	R3	14.09850811
b0002	Ecoli	0	R1	61.80930687
b0002	Ecoli	0	R2	41.1743394
b0002	Ecoli	0	R3	53.40144843
b0002	Ecoli	1	R1	25.61028921
b0002	Ecoli	1	R2	18.74323119
b0002	Ecoli	1	R3	27.60667572
b0002	Ecoli	4	R1	33.85319845
b0002	Ecoli	4	R2	7.268401605
b0002	Ecoli	4	R3	11.4704754
b0002	Ecoli	7	R1	3.902083293
b0002	Ecoli	7	R2	3.690760087
b0002	Ecoli	7	R3	5.725031433
b0002	Ecoli	20	R1	2.162699265
b0002	Ecoli	20	R2	2.279826975
b0002	Ecoli	20	R3	2.952945122
b0003	Ecoli	0	R1	121.9784126
b0003	Ecoli	0	R2	61.47071446
b0003	Ecoli	0	R3	102.5794546
b0003	Ecoli	1	R1	59.43761348
b0003	Ecoli	1	R2	43.15125481
b0003	Ecoli	1	R3	51.53163529
b0003	Ecoli	4	R1	44.53470509
b0003	Ecoli	4	R2	10.54426915
b0003	Ecoli	4	R3	22.33844334
b0003	Ecoli	7	R1	6.690898581
b0003	Ecoli	7	R2	6.045099749
b0003	Ecoli	7	R3	10.54248083
b0003	Ecoli	20	R1	3.612362194
b0003	Ecoli	20	R2	3.692928354
b0003	Ecoli	20	R3	3.032673376
b0004	Ecoli	0	R1	154.0629699
b0004	Ecoli	0	R2	92.97569742
b0004	Ecoli	0	R3	119.4341889
b0004	Ecoli	1	R1	71.44751122
b0004	Ecoli	1	R2	46.75187569
b0004	Ecoli	1	R3	65.03373812
b0004	Ecoli	4	R1	41.31075326
b0004	Ecoli	4	R2	15.01706525
b0004	Ecoli	4	R3	28.79480097
b0004	Ecoli	7	R1	10.32086536
b0004	Ecoli	7	R2	8.299827525
b0004	Ecoli	7	R3	13.38424123
b0004	Ecoli	20	R1	4.650185092
b0004	Ecoli	20	R2	4.20118222
b0004	Ecoli	20	R3	4.175696279
b0005	Ecoli	0	R1	110.7201669
b0005	Ecoli	0	R2	80.50322093
b0005	Ecoli	0	R3	96.50069948
b0005	Ecoli	1	R1	71.99503875
b0005	Ecoli	1	R2	62.51999771
b0005	Ecoli	1	R3	69.99984939
b0005	Ecoli	4	R1	45.28418295
b0005	Ecoli	4	R2	18.01655227
b0005	Ecoli	4	R3	27.48022086
b0005	Ecoli	7	R1	8.740103653
b0005	Ecoli	7	R2	10.22848058
b0005	Ecoli	7	R3	11.34822811
b0005	Ecoli	20	R1	3.263651449
b0005	Ecoli	20	R2	4.003373747
b0005	Ecoli	20	R3	4.028145174
b0006	Ecoli	0	R1	64.83430544
b0006	Ecoli	0	R2	72.79935661
b0006	Ecoli	0	R3	68.51722254
b0006	Ecoli	1	R1	67.40197544
b0006	Ecoli	1	R2	74.10226909
b0006	Ecoli	1	R3	67.36156911
b0006	Ecoli	4	R1	24.06704755
b0006	Ecoli	4	R2	12.58322973
b0006	Ecoli	4	R3	12.4386747
b0006	Ecoli	7	R1	5.654935131
b0006	Ecoli	7	R2	6.27201123
b0006	Ecoli	7	R3	5.931195104
b0006	Ecoli	20	R1	3.032903395
b0006	Ecoli	20	R2	4.590741324
b0006	Ecoli	20	R3	3.494910292
b0007	Ecoli	0	R1	22.57424233
b0007	Ecoli	0	R2	23.97070511
b0007	Ecoli	0	R3	23.69170179
b0007	Ecoli	1	R1	24.50130994
b0007	Ecoli	1	R2	23.46722785
b0007	Ecoli	1	R3	18.87755142
b0007	Ecoli	4	R1	28.09331907
b0007	Ecoli	4	R2	2.510511078
b0007	Ecoli	4	R3	2.47787678
b0007	Ecoli	7	R1	1.194574682
b0007	Ecoli	7	R2	1.481559563
b0007	Ecoli	7	R3	1.558750514
b0007	Ecoli	20	R1	0.789219504
b0007	Ecoli	20	R2	1.097743717
b0007	Ecoli	20	R3	0.57062374
b0008	Ecoli	0	R1	987.7474904
b0008	Ecoli	0	R2	1120.766565
b0008	Ecoli	0	R3	1077.096436
b0008	Ecoli	1	R1	942.9919394
b0008	Ecoli	1	R2	922.8545534
b0008	Ecoli	1	R3	832.1637846
b0008	Ecoli	4	R1	244.0920979
b0008	Ecoli	4	R2	192.2447692
b0008	Ecoli	4	R3	234.9379404
b0008	Ecoli	7	R1	96.21635415
b0008	Ecoli	7	R2	102.0388632
b0008	Ecoli	7	R3	106.8430776
b0008	Ecoli	20	R1	46.00155415
b0008	Ecoli	20	R2	60.85199772
b0008	Ecoli	20	R3	41.62235721
b0009	Ecoli	0	R1	132.1360381
b0009	Ecoli	0	R2	141.6830585
b0009	Ecoli	0	R3	134.9872395
b0009	Ecoli	1	R1	150.8839535
b0009	Ecoli	1	R2	156.149859
b0009	Ecoli	1	R3	132.410892
b0009	Ecoli	4	R1	64.22935448
b0009	Ecoli	4	R2	34.46731959
b0009	Ecoli	4	R3	38.93405979
b0009	Ecoli	7	R1	16.99099643
b0009	Ecoli	7	R2	18.52208322
b0009	Ecoli	7	R3	17.76422743
b0009	Ecoli	20	R1	7.092988224
b0009	Ecoli	20	R2	10.28768057
b0009	Ecoli	20	R3	5.264186805
b0010	Ecoli	0	R1	40.72606846
b0010	Ecoli	0	R2	44.03809608
b0010	Ecoli	0	R3	54.43371527
b0010	Ecoli	1	R1	56.46335451
b0010	Ecoli	1	R2	66.62421195
b0010	Ecoli	1	R3	60.68879669
b0010	Ecoli	4	R1	51.08785764
b0010	Ecoli	4	R2	36.70632522
b0010	Ecoli	4	R3	27.65035069
b0010	Ecoli	7	R1	7.660025803
b0010	Ecoli	7	R2	9.045728111
b0010	Ecoli	7	R3	6.082952761
b0010	Ecoli	20	R1	3.183806765
b0010	Ecoli	20	R2	5.188940113
b0010	Ecoli	20	R3	2.846799499
b0011	Ecoli	0	R1	0.504755568
b0011	Ecoli	0	R2	0.39369573
b0011	Ecoli	0	R3	0.558622924
b0011	Ecoli	1	R1	0.740197403
b0011	Ecoli	1	R2	0.794179207
b0011	Ecoli	1	R3	0.821394149
b0011	Ecoli	4	R1	3.718039617
b0011	Ecoli	4	R2	0.148611788
b0011	Ecoli	4	R3	0.111460058
b0011	Ecoli	7	R1	0.053203746
b0011	Ecoli	7	R2	0.089487084
b0011	Ecoli	7	R3	0.123861029
b0011	Ecoli	20	R1	0.012454764
b0011	Ecoli	20	R2	0.012155248
b0011	Ecoli	20	R3	0.026596397
b0012	Ecoli	0	R1	0.018086695
b0012	Ecoli	0	R2	0.0165255
b0012	Ecoli	0	R3	0.039080616
b0012	Ecoli	1	R1	0.012793535
b0012	Ecoli	1	R2	0.018519954
b0012	Ecoli	1	R3	0.024627338
b0012	Ecoli	4	R1	0.030178481
b0012	Ecoli	4	R2	0.031190128
b0012	Ecoli	4	R3	0.01819444
b0012	Ecoli	7	R1	0.02605451
b0012	Ecoli	7	R2	0.011951698
b0012	Ecoli	7	R3	0.020218741
b0012	Ecoli	20	R1	0.01829774
b0012	Ecoli	20	R2	0.017857709
b0012	Ecoli	20	R3	0.039073719
b0013	Ecoli	0	R1	4.015246186
b0013	Ecoli	0	R2	5.056802927
b0013	Ecoli	0	R3	4.830364149
b0013	Ecoli	1	R1	6.248362673
b0013	Ecoli	1	R2	6.511615855
b0013	Ecoli	1	R3	4.521579218
b0013	Ecoli	4	R1	15.1737404
b0013	Ecoli	4	R2	1.384841694
b0013	Ecoli	4	R3	1.375499679
b0013	Ecoli	7	R1	0.343919526
b0013	Ecoli	7	R2	0.702759851
b0013	Ecoli	7	R3	0.994762075
b0013	Ecoli	20	R1	0.285444744
b0013	Ecoli	20	R2	0.107146256
b0013	Ecoli	20	R3	0.328219236
b0014	Ecoli	0	R1	733.3135664
b0014	Ecoli	0	R2	521.5964438
b0014	Ecoli	0	R3	812.2085912
b0014	Ecoli	1	R1	425.6906542
b0014	Ecoli	1	R2	416.89147
b0014	Ecoli	1	R3	599.4245457
b0014	Ecoli	4	R1	200.2159464
b0014	Ecoli	4	R2	156.9531183
b0014	Ecoli	4	R3	254.5689194
b0014	Ecoli	7	R1	79.4691898
b0014	Ecoli	7	R2	70.02045443
b0014	Ecoli	7	R3	106.8591806
b0014	Ecoli	20	R1	29.47997862
b0014	Ecoli	20	R2	31.95825723
b0014	Ecoli	20	R3	33.7695989
b0015	Ecoli	0	R1	143.6188132
b0015	Ecoli	0	R2	89.48150463
b0015	Ecoli	0	R3	155.1865349
b0015	Ecoli	1	R1	85.45844079
b0015	Ecoli	1	R2	82.83665976
b0015	Ecoli	1	R3	127.276564
b0015	Ecoli	4	R1	84.56394698
b0015	Ecoli	4	R2	49.09392373
b0015	Ecoli	4	R3	80.36431147
b0015	Ecoli	7	R1	21.35046114
b0015	Ecoli	7	R2	18.75059758
b0015	Ecoli	7	R3	27.30688506
b0015	Ecoli	20	R1	7.194360754
b0015	Ecoli	20	R2	8.095652792
b0015	Ecoli	20	R3	9.217873704
b0016	Ecoli	0	R1	1.239937975
b0016	Ecoli	0	R2	0.743246601
b0016	Ecoli	0	R3	1.416382652
b0016	Ecoli	1	R1	0.687126646
b0016	Ecoli	1	R2	0.638863537
b0016	Ecoli	1	R3	1.150647637
b0016	Ecoli	4	R1	0.461218299
b0016	Ecoli	4	R2	0.313246409
b0016	Ecoli	4	R3	0.722971529
b0016	Ecoli	7	R1	0.034130705
b0016	Ecoli	7	R2	0.19309563
b0016	Ecoli	7	R3	0.132430031
b0016	Ecoli	20	R1	0.007989849
b0016	Ecoli	20	R2	0.070179354
b0016	Ecoli	20	R3	0.017061839
b0018	Ecoli	0	R1	0.041857779
b0018	Ecoli	0	R2	0.038244728
b0018	Ecoli	0	R3	0.090443712
b0018	Ecoli	1	R1	0.029607896
b0018	Ecoli	1	R2	0.042860465
b0018	Ecoli	1	R3	0.056994696
b0018	Ecoli	4	R1	0.069841628
b0018	Ecoli	4	R2	0.072182868
b0018	Ecoli	4	R3	0.042107133
b0018	Ecoli	7	R1	0.060297579
b0018	Ecoli	7	R2	0.027659644
b0018	Ecoli	7	R3	0.046791944
b0018	Ecoli	20	R1	0.042346198
b0018	Ecoli	20	R2	0.041327842
b0018	Ecoli	20	R3	0.090427749
b4412	Ecoli	0	R1	0.057451853
b4412	Ecoli	0	R2	0.052492764
b4412	Ecoli	0	R3	0.124138428
b4412	Ecoli	1	R1	0.040638289
b4412	Ecoli	1	R2	0.058828089
b4412	Ecoli	1	R3	0.078228014
b4412	Ecoli	4	R1	0.095861058
b4412	Ecoli	4	R2	0.099074525
b4412	Ecoli	4	R3	0.057794104
b4412	Ecoli	7	R1	0.082761383
b4412	Ecoli	7	R2	0.037964218
b4412	Ecoli	7	R3	0.064224237
b4412	Ecoli	20	R1	0.058122233
b4412	Ecoli	20	R2	0.056724488
b4412	Ecoli	20	R3	0.124116518
b4413	Ecoli	0	R1	1.118744269
b4413	Ecoli	0	R2	1.898329227
b4413	Ecoli	0	R3	5.179958024
b4413	Ecoli	1	R1	5.991561526
b4413	Ecoli	1	R2	3.109331927
b4413	Ecoli	1	R3	7.181331699
b4413	Ecoli	4	R1	9.866717289
b4413	Ecoli	4	R2	0.826821945
b4413	Ecoli	4	R3	2.090044967
b4413	Ecoli	7	R1	2.072044086
b4413	Ecoli	7	R2	0.739266856
b4413	Ecoli	7	R3	0.535980453
b4413	Ecoli	20	R1	1.455169362
b4413	Ecoli	20	R2	0.157797213
b4413	Ecoli	20	R3	1.726347932
b0019	Ecoli	0	R1	23.6738558
b0019	Ecoli	0	R2	25.27789723
b0019	Ecoli	0	R3	24.55930398
b0019	Ecoli	1	R1	31.54649026
b0019	Ecoli	1	R2	40.85406652
b0019	Ecoli	1	R3	44.05001378
b0019	Ecoli	4	R1	57.39760954
b0019	Ecoli	4	R2	26.38107552
b0019	Ecoli	4	R3	26.75480738
b0019	Ecoli	7	R1	8.539315267
b0019	Ecoli	7	R2	9.163234855
b0019	Ecoli	7	R3	9.876829171
b0019	Ecoli	20	R1	4.137735217
b0019	Ecoli	20	R2	5.094267365
b0019	Ecoli	20	R3	3.75891182
b0020	Ecoli	0	R1	12.42843385
b0020	Ecoli	0	R2	13.05766194
b0020	Ecoli	0	R3	13.14428642
b0020	Ecoli	1	R1	17.60297268
b0020	Ecoli	1	R2	18.84583168
b0020	Ecoli	1	R3	17.68911543
b0020	Ecoli	4	R1	24.36362758
b0020	Ecoli	4	R2	7.813436963
b0020	Ecoli	4	R3	8.403301018
b0020	Ecoli	7	R1	3.284421119
b0020	Ecoli	7	R2	3.673603749
b0020	Ecoli	7	R3	3.307973547
b0020	Ecoli	20	R1	1.40359419
b0020	Ecoli	20	R2	1.810487895
b0020	Ecoli	20	R3	1.446245122
b0021	Ecoli	0	R1	0.74995187
b0021	Ecoli	0	R2	0.23902955
b0021	Ecoli	0	R3	0.339163918
b0021	Ecoli	1	R1	0.703187533
b0021	Ecoli	1	R2	0.732199613
b0021	Ecoli	1	R3	0.26122569
b0021	Ecoli	4	R1	0.611114247
b0021	Ecoli	4	R2	0.270685756
b0021	Ecoli	4	R3	0.157901749
b0021	Ecoli	7	R1	0.226115922
b0021	Ecoli	7	R2	0.12677337
b0021	Ecoli	7	R3	0.253456365
b0021	Ecoli	20	R1	0.052932748
