Gene	Organism	Timepoint	Expression
b0001	Ecoli	0	788.3151581
b0001	Ecoli	1	985.8756505
b0001	Ecoli	4	106.8894373
b0001	Ecoli	7	28.58653414
b0001	Ecoli	20	27.35179448
b4401	Ecoli	0	1279.007339
b4401	Ecoli	1	1404.9913
b4401	Ecoli	4	217.0964184
b4401	Ecoli	7	92.69932857
b4401	Ecoli	20	50.11911769
b4200	Ecoli	0	3977.02489
b4200	Ecoli	1	2047.415177
b4200	Ecoli	4	1635.008389
b4200	Ecoli	7	648.1852725
b4200	Ecoli	20	184.9726857
T4p001	T4	0	0.004035874
T4p001	T4	1	1.173304644
T4p001	T4	4	1098.355804
T4p001	T4	7	4212.778409
T4p001	T4	20	1300.967955
T4p034	T4	0	0.053273537
T4p034	T4	1	3.353767144
T4p034	T4	4	1701.60873
T4p034	T4	7	1950.867878
T4p034	T4	20	539.9756234
T4p003	T4	0	0.016491808
T4p003	T4	1	2.461399395
T4p003	T4	4	1725.584838
T4p003	T4	7	6338.15911
T4p003	T4	20	3036.01506
