Sample_number	Species	Antibiotic_resistance
1	E.coli	Amoxicillin
2	E.coli	Ciprofloxacin
3	E.coli	Ciprofloxacin
4	E.coli	Ciprofloxacin
5	E.coli	Ciprofloxacin
6	E.coli	Ciprofloxacin
7	E.coli	Ciprofloxacin
8	E.coli	Ciprofloxacin
9	E.coli	Ciprofloxacin
10	E.coli	Ciprofloxacin
11	E.coli	Ciprofloxacin
12	E.coli	Ciprofloxacin
13	E.coli	Ciprofloxacin
14	E.coli	Amoxicillin+Ciprofloxacin
15	E.coli	Amoxicillin+Ciprofloxacin
16	E.coli	Amoxicillin+Ciprofloxacin
17	E.coli	Amoxicillin+Ciprofloxacin
18	E.coli	Amoxicillin+Ciprofloxacin
19	E.coli	Amoxicillin+Ciprofloxacin
