Colony_width	EFP_plasmid	EarP_plasmid
0.537	D.acetiphilus	earp
0.492	D.acetiphilus	earp
0.537	D.acetiphilus	earp
0.581	D.acetiphilus	earp
0.537	D.acetiphilus	earp
0.905	D.radiodurans	earp
0.951	D.radiodurans	earp
1.041	D.radiodurans	earp
0.951	D.radiodurans	earp
1.132	D.radiodurans	earp
0.815	D.radiodurans	earp
1.222	D.radiodurans	earp
0.724	D.radiodurans	earp
0.996	D.radiodurans	earp
1.403	D.radiodurans	earp
1.132	D.radiodurans	earp
1.041	D.radiodurans	earp
0.588	D.radiodurans	earp
1.403	D.radiodurans	earp
0.905	D.radiodurans	earp
0.905	D.radiodurans	earp
1.086	D.radiodurans	earp
0.679	D.radiodurans	earp
1.132	D.radiodurans	earp
1.313	D.radiodurans	earp
0.905	D.radiodurans	earp
1.041	D.radiodurans	earp
1.086	D.radiodurans	earp
0.996	D.radiodurans	earp
0.724	D.radiodurans	earp
1.358	D.radiodurans	earp
1.177	D.radiodurans	earp
0.77	D.radiodurans	earp
1.177	D.radiodurans	earp
1.222	D.radiodurans	earp
1.358	D.radiodurans	earp
0.679	D.radiodurans	earp
1.086	D.radiodurans	earp
1.177	D.radiodurans	earp
1.086	D.radiodurans	earp
0.724	D.radiodurans	earp
1.086	D.radiodurans	earp
1.086	D.radiodurans	earp
0.724	D.radiodurans	earp
0.996	D.radiodurans	earp
0.996	D.radiodurans	earp
1.086	D.radiodurans	earp
0.951	D.radiodurans	earp
1.086	D.radiodurans	earp
1.313	D.radiodurans	earp
1.086	D.radiodurans	earp
1.086	D.radiodurans	earp
1.132	D.radiodurans	earp
1.132	D.radiodurans	earp
0.634	D.radiodurans	earp
1.132	D.radiodurans	earp
1.086	D.radiodurans	earp
0.724	D.radiodurans	earp
1.041	D.radiodurans	earp
1.222	D.radiodurans	earp
1.177	D.radiodurans	earp
1.313	D.radiodurans	earp
0.996	D.radiodurans	earp
1.132	D.radiodurans	earp
1.041	D.radiodurans	earp
0.453	D.radiodurans	earp
0.905	D.radiodurans	earp
1.132	D.radiodurans	earp
0.588	D.radiodurans	earp
1.177	D.radiodurans	earp
1.177	D.radiodurans	earp
1.177	D.radiodurans	earp
0.724	D.radiodurans	earp
1.041	D.radiodurans	earp
1.267	D.radiodurans	earp
1.267	D.radiodurans	earp
1.177	D.radiodurans	earp
0.905	D.radiodurans	earp
0.996	D.radiodurans	earp
