Name,gene,locus_tag,24h amp rep 1,24h amp rep 2,24h amp rep 3,6h cip rep 1,6h cip rep 2,6h cip rep 3
zwf CDS,zwf,b1852,251,350,400,1241,836,1026
zur CDS,zur,b4046,54.5,92.5,59,116.5,51,83
zupT CDS,zupT,b3040,118,202.5,132.5,510.5,344,315.5
zraS CDS,zraS,b4003,90.5,334,258.5,73,34,68.5
zraR CDS,zraR,b4004,237.5,483.5,334.5,412,293,402.5
zraP CDS,zraP,b4002,23,59,72.5,3.5,6,8.5
znuC CDS,znuC,b1858,152.5,147.5,192.5,141,123,159.5
znuB CDS,znuB,b1859,167.5,200.5,227,215,123,250.5
znuA CDS,znuA,b1857,350,332,374.5,534.5,514,514.5
zntR CDS,zntR,b3292,136.5,100,92.5,55,37,59
zntB CDS,zntB,b1342,129,240,179,404,303,360
zntA CDS,zntA,b3469,257.5,680,462.5,483,327,460.5
zitB CDS,zitB,b0752,123.5,135,134,157,109,133
zipA CDS,zipA,b2412,579.5,581,747,2128.5,1624,2152.5
zinT CDS,zinT,b1973,48,55,36,63,62,59
zapE CDS,zapE,b3232,68,259,124,122,53,121
zapD CDS,zapD,b0102,53,86,115.5,363.5,240,357.5
zapC CDS,zapC,b0946,49.5,90,83,69,69,90
zapB CDS,zapB,b3928,241.5,323.5,332,429.5,296.5,238.5
zapA CDS,zapA,b2910,726,761,687,7776,5026,5662
yzgL CDS,yzgL,b3427,319,241,199.5,431,203,201
yzfA CDS,yzfA,b4223,62.33,104.5,69.83,243.83,135.83,126.5
yzcX CDS,yzcX,b3808,75,119,62,32.5,23.5,29
ytjC CDS,ytjC,b4395,144,209.5,181.5,195.5,128,157.5
ytjB CDS,ytjB,b4387,73,147.5,127.5,195.5,133,149
ytjA CDS,ytjA,b4568,181,139,111.5,186,141,162
ytiD CDS,ytiD,b4721,0,2,0,6,5,4.5
ytiC CDS,ytiC,b4720,0,0,0,6,2,2.5
ytiA CDS,ytiA,b4715,16,64,33.5,5,1,7.5
ythA CDS,ythA,b4655,0,4.5,1.5,3.5,0,4.5
ytfT CDS,ytfT,b4230,159,266.5,256.5,62,56.5,49
ytfR CDS,ytfR,b4485,253,488,657.5,85,47.5,68.5
ytfQ CDS,ytfQ,b4227,348.5,405,925.5,64,32,64.5
ytfP CDS,ytfP,b4222,73.83,109,82.83,292.83,173.33,185.5
ytfL CDS,ytfL,b4218,161.5,298,234.5,259,135,247.5
ytfK CDS,ytfK,b4217,1356.5,1472,674.5,99,30,40.5
ytfJ CDS,ytfJ,b4216,69,105,78,112,71,75.5
ytfI CDS,ytfI,b4215,24,60,53,64,35,56.5
ytfH CDS,ytfH,b4212,467,665,757,71.5,67.5,53
ytfF CDS,ytfF,b4210,49,216,123.5,86.5,39,63
ytfE CDS,ytfE,b4209,213.5,317.5,416,205.5,121.5,152
ytfB CDS,ytfB,b4206,145,239,199.5,312.5,247.5,309.5
ytfA CDS,ytfA,b4205,42,54,28.5,48.5,47.5,49.5
ytcA CDS,ytcA,b4622,6.5,28,12.5,6,5,4
yshB CDS,yshB,b4686,277.5,567,478.5,212.5,173,214
ysgA CDS,ysgA,b3830,146.5,169,177,89,37.5,67
ysdD CDS,ysdD,b4757,4,19,21,34,12,20
ysaB CDS,ysaB,b4553,15,47.5,30,4,3,3
ysaA CDS,ysaA,b3573,73,113.5,103.5,196,130.5,229.5
yrhD CDS,yrhD,b4612,0,2,2,0,0,3.5
yrhB CDS,yrhB,b3446,10.5,42.5,31.5,6,3,8.5
yrhA CDS,yrhA,b3443,3.5,11.5,7.5,11,14.5,18
yrfG CDS,yrfG,b3399,116.5,176.5,167.5,230.5,181,220.5
yrdD CDS,yrdD,b3283,362,306,454.5,171,117,173
yrdB CDS,yrdB,b3280,68.5,81,91,35,17.5,32.5
yrdA CDS,yrdA,b3279,132.5,170.5,152.5,66.5,39.5,50
yrbN CDS,yrbN,b4685,90,66,76.5,1992.5,1551.5,1764
yrbL CDS,yrbL,b3207,1529.5,1644,1763,874,582.5,739.5
yrbG CDS,yrbG,b3196,166.5,331.5,143,288,180.5,247
yraR CDS,yraR,b3152,112,245.5,156,196.5,154.5,168
yraQ CDS,yraQ,b3151,257.5,601,335.5,341.5,241.5,242
yraP CDS,yraP,b3150,248.5,257,364,175,126,148.5
yraN CDS,yraN,b3148,66.5,158,116,39,14,28
yraK CDS,yraK,b3145,57.5,108,116,50.5,19.5,28
yraJ CDS,yraJ,b3144,176.5,307.5,304,77,47,45
yraI CDS,yraI,b3143,24,83,61,22.5,29,25
yraH CDS,yraH,b3142,3,47,32,33,27,31
yqjK CDS,yqjK,b3100,311,295,318,614.5,514.5,418
yqjG CDS,yqjG,b3102,60,77,59,155,140,103
yqjF CDS,yqjF,b3101,178,203,222,143,113,139
yqjE CDS,yqjE,b3099,336.5,313,289,922,638,636.5
yqjD CDS,yqjD,b3098,237.5,246,361.5,699.5,533,477
yqjC CDS,yqjC,b3097,222,251,318.5,610,486,470.5
yqjA CDS,yqjA,b3095,358.5,449,452,425,312.5,325
yqiK CDS,yqiK,b3051,141,344,181,79.5,82,124
yqiJ CDS,yqiJ,b3050,13,43,36,52.5,32,23
yqiI CDS,yqiI,b3048,36.5,63,49,28,23,35
yqiH CDS,yqiH,b3047,10.5,14.5,13,12,10,18
yqiG CDS,yqiG,b3046,55.5,146.5,106.5,49,36.5,56
yqiD CDS,yqiD,b4756,8,7,14,13,18.5,23
yqiB CDS,yqiB,b3033,91.5,149,185.5,318.5,239.5,262.5
yqiA CDS,yqiA,b3031,261,377.5,436,480.5,385,511
yqhI CDS,yqhI,b4755,4.5,6,5,5,4.5,4.5
yqhH CDS,yqhH,b3014,17,40,25.5,20,19,21
yqhG CDS,yqhG,b3013,29,119.5,43.5,28.5,15.5,21
yqhD CDS,yqhD,b3011,142,247.5,205.5,702,490,547
yqhC CDS,yqhC,b3010,86.5,155,157,142.5,76.5,137.5
yqhA CDS,yqhA,b3002,178,244,199.5,148,103,125
yqgF CDS,yqgF,b2949,70.5,102.5,62,217.5,169.5,229
yqgE CDS,yqgE,b2948,150,151,131.5,443.5,310,358
yqgD CDS,yqgD,b2941,5.5,9,16.5,5,7.5,6
