Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aaeR,347.1438955,-0.192653406,0.445120981,-0.432813553,0.665150227,0.689115198
aas,3494.150126,-0.130824444,0.410731692,-0.318515978,0.750093577,0.769480779
aat,11159.59691,-0.059527708,0.388736627,-0.153131299,0.878294734,0.889660158
abpA,7.803394465,-3.64832255,0.989807629,-3.41169878,0.000645594,0.001200056
abpB,53.455032,-1.201104486,0.551382888,-2.178069529,0.029400861,0.036692482
accA,379.8146901,-0.313344497,0.446002405,-0.70257971,0.482317711,0.511736186
accB,16.18688518,-0.39225943,0.689600187,-0.569595796,0.568951881,0.598248657
accC,14.26813486,-0.38458194,0.645775916,-0.596056768,0.551137304,0.581251842
accD,26.2704507,-1.069890502,0.592171269,-1.807183717,0.070733639,0.083470433
aceA,39.33807359,0.227198655,0.515721486,0.440601584,0.659501456,0.684269183
aceB,5.645747109,-0.340511081,0.910951787,-0.375471063,0.707310164,0.729041712
aceE,11.39290288,-0.360330932,0.702110431,-0.513699386,0.607462181,0.634715768
aceF,24.31030409,-1.821349845,0.594993307,-3.056790451,0.002237206,0.003555808
aceK,26.48856413,-0.288228802,0.556037976,-0.518570998,0.604059938,0.631629278
ackA,4.05686749,0.044729945,1.029971518,0.043641847,0.965189894,0.971741737
acnA,18.74910584,-0.041667434,0.601731163,-0.069285814,0.944762117,0.952536546
acnB,16.76950769,-0.260026253,0.63718781,-0.408325162,0.683034969,0.705569114
acpH,15.56117084,-1.098962472,0.66939055,-1.642186393,0.100551382,0.116319291
acpP,12.91402375,-0.528827697,0.684489731,-0.773500915,0.439225987,0.469730107
acpS,8.520935748,-1.19612866,0.791116146,-1.512327978,0.130450447,0.148002574
acpT,21.88016736,-0.418557778,0.550096523,-0.761030779,0.446638684,0.476933615
acrA,22.57547349,-0.761433082,0.612858895,-1.243043142,0.213851936,0.237071108
acrB,8.655923384,0.219533372,0.810742969,0.271059939,0.786344932,0.803451784
acrD,17.46206507,-0.411279889,0.61331832,-0.670747006,0.502381712,0.53222243
acrF,17.6427544,0.043492128,0.60604693,0.071802501,0.942759082,0.950857228
acrR,9.839581617,-0.89673355,0.761011566,-1.179526235,0.238188696,0.262912552
acrZ,42.697345,-0.274291598,0.541856019,-0.506380403,0.612589629,0.639598953
acs,16.79977609,-1.080297167,0.619743006,-1.742905684,0.081350091,0.095399316
actP,10.02427736,-0.049111096,0.746426911,-0.065792534,0.947543001,0.954998632
ada,13.46084572,-0.000764995,0.709885953,-0.001079073,0.999139025,0.999286591
add,5.178832388,-0.038751241,0.950375181,-0.040996614,0.967298596,0.973516944
adeD,13.36798761,-0.495519679,0.721575578,-0.687642449,0.49167797,0.521471027
adeP,168.2223216,0.832361235,0.441747489,1.883902722,0.059578135,0.071140332
adhE,141.0280375,0.645302281,0.432136373,1.493067568,0.135419501,0.153257893
adhP,426621.9703,-0.000317652,0.355264836,-0.000894126,0.999286591,0.999286591
adk,169.3602115,0.732066754,0.428669585,1.707521392,0.087725185,0.102364212
aegA,127.0313268,0.888269638,0.441421768,2.011815928,0.044239344,0.053944817
aer,144.4259873,0.604254938,0.438590796,1.377514009,0.168353387,0.188786249
agaR,442385.9239,-0.002822131,0.355265754,-0.007943717,0.993661898,0.995074352
agp,435117.5987,-0.00328298,0.355263762,-0.009240966,0.992626881,0.994687857
ahpC,431516.791,0.002215542,0.355263744,0.00623633,0.995024161,0.996084577
ahpF,147.9018848,0.729153937,0.431098533,1.6911054,0.090816674,0.105708958
ahr,3.95520052,-2.093031261,0.996534848,-2.057387747,0.039648943,0.048599705
aidB,190.634861,-3.556055386,0.428742307,-8.279720657,1.23E-16,1.74E-14
ais,12.33331382,-2.891973311,0.811520621,-3.513452236,0.000442324,0.000866205
alaA,5.189982943,-3.22902506,1.005953704,-2.979371859,0.0028884,0.004460006
alaC,4.188880757,-2.266175382,0.98745792,-2.233870465,0.025491597,0.032141083
alaE,13.91044428,0.728889464,0.705839839,1.030577213,0.302739126,0.329644072
alaS,6.802221412,-0.346202539,0.818593946,-0.42379527,0.671715128,0.694384898
aldA,4.38864737,-2.828976286,1.048756486,-2.568511911,0.01021362,0.013810932
alkA,8.125489106,-4.375676062,1.019660042,-3.971683028,7.14E-05,0.000182331
allA,67.91125428,-4.813387634,0.600354362,-7.842604366,4.41E-15,4.44E-13
allB,21.94554001,-3.17224196,0.684672208,-4.573887659,4.79E-06,1.85E-05
allC,3.678458839,-2.344379483,1.031345414,-2.200819999,0.027748769,0.034769245
allE,17.66168837,-2.844844634,0.711808119,-3.956813942,7.60E-05,0.000191876
allR,41.66311978,-3.121162267,0.573376415,-5.414089121,6.16E-08,5.03E-07
alr,103.1512458,-0.598256453,0.466952304,-1.281181655,0.200129868,0.222296401
alsR,175.0327025,-1.313915886,0.458723716,-2.864207623,0.004180539,0.006164709
alx,44.77406006,-3.114290362,0.549902864,-5.634149973,1.76E-08,1.71E-07
amiA,3.714483112,-1.670218626,1.277979984,-1.557719511,0.119299753,0.136605731
amiB,28.78226234,-2.788814263,0.568401194,-4.876305731,1.08E-06,5.44E-06
amiC,14.14179881,-1.945725247,0.700231188,-2.76929877,0.005617709,0.008052241
amiD,27.90856526,-2.684010297,0.587527774,-4.54282171,5.55E-06,2.09E-05
amn,40.66138775,-0.756039321,0.517364993,-1.461205531,0.143959046,0.162011418
ampC,15.22926534,-0.992727372,0.653483957,-1.519669693,0.128594012,0.146120132
ampD,144.4595589,-0.853205869,0.549057522,-1.553924588,0.120202406,0.137471745
ampE,7.515326091,-2.479403885,0.845037092,-2.886613936,0.003894117,0.005784725
ampG,12.78657236,-3.191986187,0.752775735,-4.137246263,3.51E-05,0.000100561
ampH,201.9036558,-2.145352387,0.467272026,-4.590267556,4.43E-06,1.74E-05
amtB,11.78243026,-1.728047908,0.756847825,-2.278041356,0.022724114,0.028897361
amyA,185.6687934,-3.336150095,0.457207135,-7.287134874,3.17E-13,1.78E-11
anmK,10.01194628,-3.739077502,0.886576114,-3.957460781,7.58E-05,0.000191621
ansA,22.81999713,-3.789479628,0.697669284,-5.298911906,1.16E-07,8.31E-07
ansB,114.2189542,-2.044661808,0.498698108,-4.098707922,4.15E-05,0.000114782
apaG,39.30835948,-2.435324358,0.570139169,-4.262460878,2.02E-05,6.30E-05
apaH,54.93924958,-2.54728401,0.515025839,-4.936741685,7.94E-07,4.18E-06
aphA,7.734460174,-3.813058991,0.953993572,-3.624792734,0.000289193,0.000600108
appY,33.58549264,-3.24736842,0.597211518,-5.391467588,6.99E-08,5.50E-07
apt,9.696846107,-4.624667004,1.002056901,-4.22471904,2.39E-05,7.30E-05
araC,12.90032396,-0.395146864,0.648443789,-0.609591185,0.542132652,0.572612374
arcA,19.46188358,-3.375308809,0.688350632,-4.810664633,1.50E-06,7.22E-06
arcB,7.393889298,-2.975827755,0.904271543,-3.182421605,0.00146049,0.002441081
arfA,10.02538183,-2.463308079,0.8089928,-3.013847973,0.00257957,0.004038461
arfB,29.7588509,-2.86769509,0.716147785,-3.98755687,6.68E-05,0.000172115
argA,199.7158026,-3.251833289,0.437430353,-7.42552628,1.12E-13,7.03E-12
argB,13.76879871,-3.696131837,0.786722408,-4.50871512,6.52E-06,2.39E-05
argC,13.23771019,-2.784188503,0.806564403,-3.401760069,0.000669534,0.001233974
argD,24.03655232,-1.774098275,0.623594638,-2.840340856,0.004506535,0.006597099
argE,31.1046196,-3.530563528,0.587990353,-5.923402295,3.15E-09,3.98E-08
argF,19.82234914,-1.12570015,0.627818026,-1.79271641,0.073018281,0.085986426
argG,3.998551369,-2.321481275,1.021488048,-2.216375898,0.026665769,0.03353152
argH,549.2285774,-1.361230734,0.464949219,-2.927663608,0.003415193,0.005176985
argP,1928.342649,0.04350584,0.446654747,0.097403558,0.922405919,0.932331377
argQ,10.09478204,-1.714194645,0.731110846,-2.337315618,0.019422779,0.024946851
argR,33.59049188,-2.619014181,0.599937924,-4.350188444,1.36E-05,4.51E-05
argS,4.239096473,-1.268984575,0.931605845,-1.35454025,0.175564081,0.196247355
argT,35.56013393,-2.04008831,0.618958241,-3.292990615,0.000991278,0.001724265
argV,36.84023115,-3.848197452,0.622012025,-6.090280057,1.13E-09,1.77E-08
argX,6.365580725,-4.817838616,1.121189799,-4.293411302,1.76E-05,5.60E-05
argY,8.022023251,-1.06537013,0.763682561,-1.393984031,0.163322427,0.183290561
argZ,54.68578789,-3.099209552,0.552064103,-5.593125496,2.23E-08,2.06E-07
arnA,61.35905112,-1.910713419,0.533182326,-3.581833352,0.000341191,0.000692711
arnB,10.05609643,-2.562540663,0.77445622,-3.264622349,0.001096101,0.001892655
arnC,68.65909476,-1.836985096,0.467845824,-3.924427999,8.69E-05,0.000214336
arnD,17.91087882,-1.360066333,0.641878373,-2.118238842,0.034154845,0.04228838
